imdbID,Rating
88751,PG-13
96056,
96056,
108549,
113545,
113545,R
113735,
114447,
117743,
117743,
118530,Unrated
118530,
118589,PG-13
118652,R
118840,R
119004,R
119028,
119028,R
119768,
119966,
119970,
119980,
120225,Not Rated
120607,
120607,
120667,PG-13
120681,R
35423,R
35423,PG-13
120737,PG-13
120804,R
120807,R
120824,R
120829,PG-13
120870,R
120912,PG-13
121164,PG
121569,R
121765,PG
122132,PG-13
122247,R
123581,R
124359,Not Rated
124359,
124889,
125022,PG-13
126029,PG
128165,R
128165,
128216,
129871,R
130205,
132245,PG-13
133240,PG-13
133240,PG
133957,
135774,PG
138432,PG-13
132245,R
138524,PG-13
138992,PG-13
138992,
139654,
139654,R
140806,
141907,
142634,R
143861,R
143861,R
144280,
144645,
145276,
145487,PG-13
145937,PG
146272,G
146272,
146316,PG-13
147470,
148415,R
149253,R
151379,R
151379,
152635,
152635,X
152772,
153098,R
153533,Unrated
153533,
153812,Unrated
154187,
156100,
156263,
156263,
156376,
156741,R
156859,R
156976,PG-13
157007,R
157472,PG
157583,R
159273,
159273,PG-13
159365,R
159378,
159378,
119028,R
160184,R
160239,
160240,
160261,
160275,R
160343,
160370,
160399,R
160480,
160706,
160706,
160809,
160870,
160905,PG
161021,R
161083,PG-13
161088,R
161102,
162030,G
162030,R
162203,
162346,R
162838,R
163025,PG-13
163246,PG
164003,
164003,R
164184,PG-13
164334,R
164388,
164555,
164810,R
165361,R
165789,
165899,R
165899,
165982,PG
166110,R
166276,R
166276,PG-13
166813,G
166924,R
167116,R
167190,PG-13
167198,
167261,PG-13
167261,PG-13
167266,
167360,PG
169579,PG-13
169579,
169621,R
170008,
170367,PG-13
170367,
170541,
170627,
171436,
171436,
172156,R
172995,
173498,
173498,R
173772,PG-13
174148,PG-13
174148,
175038,
176185,NC-17
176379,TV-PG
176724,
176799,R
176883,PG
177352,
177885,R
177997,
178642,R
179098,PG-13
179144,
179150,
179344,R
179435,R
179538,
179626,R
179803,PG
179844,
180052,PG-13
180283,
180451,
180734,PG-13
180734,PG-13
180846,R
180878,
181284,
181689,PG-13
181739,PG
181852,R
181931,
182000,R
182027,R
183113,
183620,PG
183649,
183649,R
183790,PG-13
184719,
184719,
184791,R
184799,
184978,
185143,G
185704,
185906,TV-MA
185936,R
186075,
186202,PG-13
186589,PG-13
187512,PG-13
187738,R
187838,
188189,
188189,
188378,
188424,
188453,R
188575,R
189201,PG-13
156376,R
189541,
189541,R
189965,
189997,
190487,
190521,
191074,R
191133,PG-13
191211,
191211,R
191074,R
191911,
192071,R
192071,PG-13
192110,
192222,PG-13
192222,
192722,
192788,PG
192789,
192947,
193011,
193364,R
193365,
193560,PG-13
193598,
194143,R
194342,
194700,
194704,R
195108,
195393,R
195565,
195614,Unrated
195896,R
195896,
196068,TV-MA
196091,
196186,R
196186,
196229,PG-13
161220,G
196363,
163025,PG-13
197633,
197633,Unrated
197862,
197918,
197929,
198013,R
198013,
198099,
198450,
198460,G
198748,
198779,Unrated
198781,G
198794,
198893,R
198903,R
199007,
199054,R
199054,R
184791,R
199421,
199626,R
200027,PG-13
200373,
200374,R
200422,PG-13
200465,R
200525,
200641,Not Rated
200954,PG-13
201020,PG-13
201394,R
201479,R
201513,PG-13
201513,
201694,PG-13
201844,R
202267,
202294,R
202360,
202437,
202453,
202458,R
202470,R
202623,
202623,PG-13
202695,
202766,
202766,
203009,PG-13
203078,PG-13
203206,
203289,Unrated
203536,R
203755,R
203912,
203975,R
204250,
204313,R
204322,
204347,
204352,
204382,
204619,R
204765,
204993,TV-14
205257,
205700,
205700,
205782,
205896,
206098,
206113,PG
206211,PG-13
206211,R
206275,PG-13
206300,TV-14
206314,R
206367,G
206476,
206762,R
206762,Not Rated
206771,
206778,
206878,
207156,R
207156,
207271,
207277,
207585,PG
207635,
207745,R
207927,
